Názov knižnice;Typ knižnice;Stav knižnice (F/N/S/Z);Adresa;;;Okres;Kraj;Štatutárny zástupca;Telefón knihovníka/metodika;Web;E-mail inštitúcie
Mestská knižnica Ľ. V. Riznera;mestská;Fungujúca;Ul. 1. mája 313/6;915 01;Nové Mesto nad Váhom;Nové Mesto nad Váhom;Trenčiansky;PhDr. Eva Grznárová;327715946;;msks@msks.sk
Mestská knižnica Samuela Reussa;mestská;Fungujúca;Námestie slobody 14/18;050 01;Revúca;Revúca;Banskobystrický;Ing. Igor Kvetko, PhD.;582851574;;margetova@msksrevuca.sk
Mestská knižnica mesta Piešťany;mestská;Fungujúca;Školská 19;921 01;Piešťany;Piešťany;Trnavský;Ing. Margita Galová;337725982;www.kniznica.sk;info@kniznica.sk
Mestská knižnica Ľ. Štúra;mestská;Fungujúca;5. apríla 795/18;957 01;Bánovce nad Bebravou;Bánovce nad Bebravou;Trenčiansky;Mgr. Zuzana Janáčová;387602767;;kniznica@kulturabn.sk
Mestská knižnica v Stropkove;mestská;Fungujúca;Hlavná 3;091 01;Stropkov;Stropkov;Prešovský;MUDr. Peter Obrimčák;547422238;;msk.stropkov@stonline.sk
Mestská knižnica;mestská;Fungujúca;Námestie Mariánske 29;065 03;Podolínec;Stará Ľubovňa;Prešovský;Mgr. Iveta Bachledová;524391490;;mupodolinec@podolinec.eu
Mestské kultúrne stredisko - Knižnica;mestská;Fungujúca;Kostolné námestie 4;946 03;Kolárovo;Komárno;Nitriansky;Mgr. János Mayer;357603866;;vmkguta@gmail.com
Mestské centrum kultúry Malacky - Knižnica;mestská;Fungujúca;Záhorácka 1919;901 01;Malacky;Malacky;Bratislavský;Mgr. Jana Zetková;944214551;www.mckmalacky.sk/kniznica;jana.zetkova@mckmalacky.sk
Mestská knižnica;mestská;Fungujúca;Hlavné nám. č. 3;060 01;Kežmarok;Kežmarok;Prešovský;Mgr. Gabriela Kantorková;524522545;www.kezmarok.sk/obcan/kultura/mestska_kniznica/;riaditelka@mskskezmarok.sk
Mestská knižnica;mestská;Fungujúca;J. D. Matejovie 591;033 01;Liptovský Hrádok;Liptovský Mikuláš;Žilinský;Mgr. Branislav Tréger, PhD.;445222214;www.mklh.sk;sekretariat@lhr.sk
Mestské kultúrne stredisko - Mestská knižnica;mestská;Fungujúca;Nám. 1. mája 2;903 01;Senec;Senec;Bratislavský;Mgr. Peter Szabo;245923507;www.msks-senec.sk;anetta.msks@senec.sk
Mestské kultúrne a osvetové stredisko - Mestská knižnica;mestská;Fungujúca;Strojárska 2060/95;069 01;Snina;Snina;Prešovský;PhDr. Daniel Andráško;577623263;www.mskssnina.sk/kniznica;kniznica@snina.sk
Mestská knižnica v Gelnici;mestská;Fungujúca;Slovenská 1;056 01;Gelnica;Gelnica;Košický;Anna Nemčíková;534821236;;sekretariat@gelnica.sk
Mestská knižnica Lipany;mestská;Fungujúca;Krivianska 1;082 71;Lipany;Sabinov;Prešovský;Ing. Eduard Vokál;514881176;;kniznica@lipany.sk
Mestská knižnica;mestská;Fungujúca;Mierová 326/4;068 01;Medzilaborce;Medzilaborce;Prešovský;Ing. Ivan Solej;577460120;;kniznica@medzilaborce-urad.sk
Mestská knižnica Želiezovce;mestská;Fungujúca;SNP 2;937 01;Želiezovce;Levice;Nitriansky;Jana Beníková;367711000;www.kniznicazeliezovce.webnode.sk;mesto@zeliezovce.sk
Mestské stredisko kultúry a športu p. o.  - knižnica;mestská;Fungujúca;Nám. A. Hlinku 1;953 01;Zlaté Moravce;Zlaté Moravce;Nitriansky;Simona Holubová;376323051;;mskszm@szm.sk
Mestská knižnica v Ilave;mestská;Fungujúca;Farská 84/5;019 01;Ilava;Ilava;Trenčiansky;Ing. Štefan Daško;424455574;;primator@ilava.sk
Mestská knižnica Sliač;mestská;Fungujúca;Kúpeľná 11;962 31;Sliač;Zvolen;Banskobystrický;Beata Mikušová;455442202;www.kniznica-sliac.wbl.sk;msks.sliac@gmail.com
Mestská knižnica v Modre;mestská;Fungujúca;Sokolská 8;900 01;Modra;Pezinok;Bratislavský;Bc. Miroslav Holzmann;336472112;;msks-riaditel@modra.sk
Mestská knižnica Moldava nd Bodvou;mestská;Fungujúca;Školská 5;045 01;Moldava nad Bodvou;Košice - okolie;Košický;Mgr. Erika Vitéz;554602023;;kniznica@moldava.sk
Mestská knižnica Michala Chrásteka;mestská;Fungujúca;SNP 119;965 01;Žiar nad Hronom;Žiar nad Hronom;Banskobystrický;PhDr. Michaela Pribilincová, PhD.;915727243;;kniznicamskc@gmail.com
Mestská knižnica v Brezovej pod Bradlom;mestská;Fungujúca;Horný rad 566/89;906 13;Brezová pod Bradlom;Myjava;Trenčiansky;Mgr. Eva Ušiaková;948654333;;primatorka@brezova.sk
Mestská knižnica;mestská;Fungujúca;Nám. baníkov 384;049 25;Dobšiná;Rožňava;Košický;Karol Horník;918653630;;kultura@dobsina.sk
Mestská knižnica;mestská;Fungujúca;Fučíková 460;925 21;Sládkovičovo;Galanta;Trnavský;Ing. Anton Szabó;908764742;;sladkovicovo@sladkovicovo.sk
Mestská a školská knižnica pri ZŠ s MŠ v Gbeloch;mestská;Fungujúca;Pionierska 697;908 45;Gbely;Skalica;Trnavský;Mgr. Soňa Dolníková;346621378;;zsgbely@zsgbely.sk
Mestská knižnica;mestská;Fungujúca;Nám. SNP 1/29;013 13;Rajecké Teplice;Žilina;Žilinský;RNDr. Peter Dobeš;415099068;;prednosta@rajecke-teplice.sk
Mestská knižnica Myjava;mestská;Fungujúca;Námestie M. R. Štefánika 4;907 01;Myjava;Myjava;Trenčiansky;Pavel Halabrín;346212330;;msk.myjava@azet.sk
Mestské kultúrne centrum - Knižnica v Hlohovci;mestská;Fungujúca;Námestie sv. Michala 2;920 01;Hlohovec;Hlohovec;Trnavský;Jaromír Kratochvíl;337424657;www.kniznica.mskchc.sk;mskchlohovec@centrum.sk
Mestská knižnica v Leopoldove;mestská;Fungujúca;Štúrova 419/1;920 41;Leopoldov;Hlohovec;Trnavský;JUDr. Milan Gavorník;337342673;;sekretariat@leopoldov.sk
Mestská knižnica;mestská;Fungujúca;Svätotrojičné námestie 15;963 01;Krupina;Krupina;Banskobystrický;Ján Alakša;908473935;;kniznica@krupina.sk
Mestská knižnica;mestská;Fungujúca;Mariánske námestie 34;053 04;Spišské Podhradie;Levoča;Prešovský;Daniela Vancová;908202386;;kultura@spisskepodhradie.sk
Mestská knižnica;mestská;Fungujúca;Námestie I. Dobooa 2;079 01;Veľké Kapušany;Michalovce;Košický;PhDr. Štefan Toviš;566382485;;msks.vk@stonline.sk
Mestská knižnica Vladimíra Roya;mestská;Fungujúca;Župné námestie 900/7;020 01;Púchov;Púchov;Trenčiansky;Mgr. Marián Michalec;424631488;;msu@puchov.sk
Mestská knižnica;mestská;Fungujúca;Štúrova 52;061 01;Spišská Stará Ves;Kežmarok;Prešovský;Ing. Jozef Harabin;524361102;;sekretar@spisskastaraves.sk
Mestská knižnica Jána Johanidesa v Šali;mestská;Fungujúca;Hlavná 15/61;927 01;Šaľa;Šaľa;Nitriansky;Adriana Gerová;948196600;www.kniznica.sala.sk;kniznica@sala.sk
Mestská knižnica Vysoké Tatry;mestská;Fungujúca;vila Alica 36;062 01;Vysoké Tatry;Poprad;Prešovský;Ing. Ján Mokoš;524422778;;primator@vysoketatry.sk
Mestská knižnica v Trenčianskych Tepliciach;mestská;Fungujúca;17. novembra 32;914 51;Trenčianske Teplice;Trenčín;Trenčiansky;PhDr. Štefan Škultéty;326552450;www.kniznicatt.webnode.sk;msk@teplice.sk
Mestská knižnica K. A. Medveckého;mestská;Fungujúca;Obrancov mieru 871/1;962 12;Detva;Detva;Banskobystrický;Jozef Kulišiak;455455604;;kcdetva@kcdetva.sk
Mestská knižnica v Nemšovej;mestská;Fungujúca;SNP 1;914 41;Nemšová;Trenčín;Trenčiansky;Ing. František Bagín;326598386;;primator@nemsova.sk
Mestská knižnica v Modrom Kameni;mestská;Fungujúca;Lipové námestie 294/26;992 01;Modrý Kameň;Veľký Krtíš;Banskobystrický;Ing. Aladár Bariak;474870288;;sekretariat@modrykamen.sk
Mestská knižnica Giraltovce;mestská;Fungujúca;Fučíkova 5;087 01;Giraltovce;Svidník;Prešovský;Mgr. Ján Rubis;547322487;www.giraltovce.sk;bookgiralt@post.sk
Mestská knižnica Spišská Belá;mestská;Fungujúca;Hviezdoslavova 21;059 01;Spišská Belá;Kežmarok;Prešovský;JUDr. Štefan Bieľak;524591322;;primator@spisskabela.sk
Mestská knižnica;mestská;Fungujúca;Kollárova 21;908 51;Holíč;Skalica;Trnavský;PhDr. Zdenko Čambal;346683057;www.kniznicaholic.sk;sekretariat@holic.sk
Mestská knižnica Michala Matunáka Šurany;mestská;Fungujúca;SNP 16;942 01;Šurany;Nové Zámky;Nitriansky;RNDr. Miroslav Eliáš;356500077;www.surany.sk;msks-surany@szm.sk
Mestská knižnica Šahy;mestská;Fungujúca;Janka Kráľa 52;936 01;Šahy;Levice;Nitriansky;Ing. Ján Lőwy;367410940;www.sahy.sk;primator@sahy.sk
Knižnica Ruda Morica v Stupave;mestská;Fungujúca;Hviezdoslavova 744/44;900 31;Stupava;Malacky;Bratislavský;Katarína Prevendarčíková;264934818;www.mkic.sk/web/src/index.php?Ig=sk&pgid=26;ivankova@mkic.sk
Mestská knižnica v Krásne nad Kysucou;mestská;Fungujúca;1. mája 1538;023 02;Krásno nad Kysucou;Čadca;Žilinský;Ing. Jozef Grapa;414385239;;info@mestokrasno.sk
Mestská knižnica v Štúrove;mestská;Fungujúca;Nám. sv. Imricha 33;943 01;Štúrovo;Nové Zámky;Nitriansky;Zsuzsanna Csiffáry;367510161;www.msksturovo.sk;kniznica.konyvtar@gmail.com
Mesto Trstená - Mestská knižnica;mestská;Fungujúca;Bernolákova 96/8;028 01;Trstená;Tvrdošín;Žilinský;Ing. Jozef Ďubjak;435392117;;msu@trstena.sk
Mestská knižnica;mestská;Fungujúca;Partizánska 1613;962 05;Hriňová;Detva;Banskobystrický;Mgr. Stanislav Horník;453210119;;primator@hrinova.sk
Mestská knižnica v Novej Dubnici;mestská;Fungujúca;Mierové námestie 29/38;018 51;Nová Dubnica;Ilava;Trenčiansky;Ing. Peter Marušinec;424431108;;msu@novadubnica.sk
Mestská knižnica;mestská;Fungujúca;Hviezdoslavova 4;908 41;Šaštín - Stráže;Senica;Trnavský;Ing. Radovan Prstek;346592464;;primator@mestosastinstraze.sk
Mestská knižnica Zsigmonda Zalabaiho v Šamoríne;mestská;Fungujúca;Parková 4;931 01;Šamorín;Dunajská Streda;Trnavský;Károly Tóth;315902796;www.kniznicasamorin.sk;kniznicasamorin@gmail.com
Mestská knižnica Dubnica nad Váhom;mestská;Fungujúca;Pionierska 396;018 41;Dubnica nad Váhom;Ilava;Trenčiansky;Ing. Jozef Gašparík;424455752;www.kniznica.dubnica.eu;primator@dubnica.eu
Knižnica Ružinov;mestská;Fungujúca;Tomášikova 25;821 01;Bratislava - Ružinov;Bratislava II;Bratislavský;PhDr. Darina Horáková;244454704;www.kniznica-ruzinov.sk;riaditel@kniznica-ruzinov.sk
Mestská knižnica;mestská;Fungujúca;Hurbanovo námestie 68;972 01;Bojnice;Prievidza;Trenčiansky;Katarína Gabrišová;465402808;www.mestskakniznicabojnice.sk;mail@mestskakniznicabojnice.sk
Staromestská knižnica;mestská;Fungujúca;Blumentálska 10/a;814 41;Bratislava - Staré Mesto;Bratislava I;Bratislavský;PhDr. Judita Kopáčiková;255422268;www.starlib.sk;riaditel@starlib.sk
Mestská knižnica A. H. Škultétyho;mestská;Fungujúca;Jesenského 835;980 61;Tisovec;Rimavská Sobota;Banskobystrický;Ing. Peter Mináč;475493264;;kniznicaahs@tisovec.com
Mestská knižnica Kysucké Nové Mesto;mestská;Fungujúca;Belanského 9;024 01;Kysucké Nové Mesto;Kysucké Nové Mesto;Žilinský;Ing. Ján Hartel;414212732;www.kniznica.kysuckenovemesto.sk;sekretariat1@kysuckenovemesto.sk
Mestská knižnica Skalica;mestská;Fungujúca;Námestie slobody 142/4;909 01;Skalica;Skalica;Trnavský;Ľubica Rozborilová;918340577;www.kniznica.skalica.sk;info@kniznica.skalica.sk
Mestská knižnica;mestská;Fungujúca;Partizánska 413/1;039 01;Turčianske Teplice;Turčianske Teplice;Žilinský;Mgr. Michal Sygút;434922727;;primator@turciansketeplice.sk
Mestská knižnica Sereď;mestská;Fungujúca;Školská 118/1;926 01;Sereď;Galanta;Trnavský;Mgr. František Čavojský;911424081;;msksered@gmail.com
Mestská knižnica Svit;mestská;Fungujúca;Štúrova 87;059 21;Svit;Poprad;Prešovský;PaedDr. Rudolf Abrahám;915461154;www.kniznicasvit.sk;info@kniznicasvit.sk
Mestská knižnica Brezno;mestská;Fungujúca;Rázusova 2;977 01;Brezno;Brezno;Banskobystrický;Ing. Jaroslav Demian;486112291;;primator@brezno.sk
Mestská knižnica vo Vrábľoch;mestská;Fungujúca;sídlisko Lúky 1317/3;952 01;Vráble;Nitra;Nitriansky;Ing. Tibor Tóth;377832327;www.kniznica.vrable.sk;sekretariat@vrable.sk
Knižnicia pri Kultúrnom centre Medzibodrožia a Použia;mestská;Fungujúca;Hlavná 72;077 01;Kráľovský Chlmec;Trebišov;Košický;;566321620;;kcmap.kralovskychlmec@gmail.com
Knižnica Turčianskej galérie;múzeí a galérií;Stagnujúca;Daxnerova 2;036 01;Martin;Martin;Žilinský;Ing. Ľubomír Kraľovanský;434224448;;riaditeltg@vuczilina.sk
Knižnica Nitrianskej galérie;múzeí a galérií;Fungujúca;Župné námestie 3;949 01;Nitra;Nitra;Nitriansky;Mgr. Renáta Niczová;376579641;;riaditel@nitrianskagaleria.sk
Knižnica Šarišskej galérie v Prešove;múzeí a galérií;Fungujúca;Hlavná 51;080 01;Prešov;Prešov;Prešovský;PhDr. Rudolf Dupkala;517725423;;sg.po@centrum.sk
Knižnica Záhorskej galérie v Senici;múzeí a galérií;Fungujúca;Sadová 619;905 01;Senica;Senica;Trnavský;PhDr. Štefan Zajícek;346512937;;zahorskagaleria@zupa-tt.sk
Knižnica Múzea moderného umenia Andyho Warhola;múzeí a galérií;Fungujúca;Andyho Warhola 748;068 01;Medzilaborce;Medzilaborce;Prešovský;PaedDr. Valika Maďarová;577480072;;awmuzeum@post.sk
Knižnica Stredoslovenskej galérii v Banskej Bystrici;múzeí a galérií;Fungujúca;Dolná 8;975 90;Banská Bystrica;Banská Bystrica;Banskobystrický;Mgr. art. Maroš Rovňák, ArtD.;484701624;;ssgbb@ssgbb.sk
Knižnica Tatranskej galérie v Poprade;múzeí a galérií;Fungujúca;Hviezdoslavova 341/12;058 01;Poprad;Poprad;Prešovský;PaedDr. Anna Ondrušeková;527721968;;tatragaleria@tatragaleria.sk
Knižnica Galérie M. A. Bazovského v Trenčíne;múzeí a galérií;Fungujúca;Palackého 27;911 01;Trenčín;Trenčín;Trenčiansky;PhDr. Danica Lovišková;327436858;;info@gmab.sk
Knižnica Istvána Kultsára Komárno;múzeí a galérií;Fungujúca;Palatínová 13;945 01;Komárno;Komárno;Nitriansky;Ing. Jozef Csütörtöky, CSc.;357731476;www.muzeumkn.sk;muzeumkomarno@gmail.com
Knižnica Slovenského technického múzea v Košicich;múzeí a galérií;Fungujúca;Hlavná 88;040 01;Košice - Staré Mesto;Košice I;Košický;Ing. Eugen Labanič;557260668;;stmke@stm-ke.sk
Knižnica Zemplínskeho múzea v Michalovciach;múzeí a galérií;Fungujúca;Kostolné námestie 1;071 01;Michalovce;Michalovce;Košický;Mgr. Maroš Demko;905435882;;sekretariat.zm@gmail.com
Knižnica Múzea Ľudovíta Štúra - Slovenské národné múzeum;múzeí a galérií;Fungujúca;Štúrova 84;900 01;Modra;Pezinok;Bratislavský;PhDr. Viera Jančovičová;336407630;;mls@snm.sk
Knižnica Múzeum v Kežmarku;múzeí a galérií;Fungujúca;Hradné námestie 42;060 01;Kežmarok;Kežmarok;Prešovský;Mgr. Erika Cintulová;524280072;;riaditelka.muzea@kezmarok.com
Knižnica Galérie Jána Koniarka v Trnave;múzeí a galérií;Fungujúca;Zelený kríček 3;917 00;Trnava;Trnava;Trnavský;akd. arch. Róbert Němeček;335511659;;sekretariat@gjk.sk
Knižnica SNM - Múzea SNR Myjava;múzeí a galérií;Fungujúca;Štúrova 2;907 01;Myjava;Myjava;Trenčiansky;PaedDr. Rastislav Púdelka;342451102;;msnr@snm.sk
Knižnica Balneologického múzea;múzeí a galérií;Fungujúca;Beethovenova 5;921 01;Piešťany;Piešťany;Trnavský;PhDr. Vladimír Krupa;337722875;;balneomuzeum@zupa-tt.sk
Knižnica Galérie umelcov Spiša;múzeí a galérií;Fungujúca;Zimná 46;052 01;Spišská Nová Ves;Spišská Nová Ves;Košický;Mgr. Lucia Benická;534174623;www.gus.sk;archiv@gus.sk
Knižnica Horehronského múzea;múzeí a galérií;Fungujúca;Nám. gen. M. R. Štefánika 55/47;977 01;Brezno;Brezno;Banskobystrický;Ján Weiss;486112283;www.horehronskemuzeum.sk;muzeumbrezno@stonline.sk
Knižnica Žitnoostrovného múzea v Dunajskej Strede;múzeí a galérií;Fungujúca;Múzejná 2;929 01;Dunajská Streda;Dunajská Streda;Trnavský;PhDr. Tibor Zsigmond;315522402;;zmds@zupa-tt.sk
Knižnica Galérie mesta Bratislavy;múzeí a galérií;Fungujúca;Františkánske námestie 11;815 35;Bratislava - Staré Mesto;Bratislava I;Bratislavský;PhDr. Ivan Jančár;254431556;www.gmb.bratislava.sk/sk/content/kniznica;gmb@gmb.sk
Knižnica Východoslovenského múzea Košice;múzeí a galérií;Fungujúca;Hviezdoslavova 3;041 36;Košice - Staré Mesto;Košice I;Košický;PhDr. Robert Pollák;556220309;;info@vsmuzeum.sk
Knižnica Múzea Bojnice - Slovenské národné múzeum;múzeí a galérií;Fungujúca;Zámok a okolie 1;972 01;Bojnice;Prievidza;Trenčiansky;Mgr. Ján Papco;465430624;;sekretariat@bojnicecastle.sk
Knižnica Literárneho a hudobného múzea pri ŠVK v Banskej Bystrici;múzeí a galérií;Fungujúca;Lazovná 9;975 58;Banská Bystrica;Banská Bystrica;Banskobystrický;PhDr. Oľga Lauková, PhD.;484710772;www.svkbb.eu;lhmbb@svkbb.eu
Knižnica Vlastivedné múzeum v Považskej Bystrici;múzeí a galérií;Fungujúca;Ulica slovenských partizánov 1132/52;017 01;Považská Bystrica;Považská Bystrica;Trenčiansky;PhDr. Viera Praženicová;424260228;;muzeumpb@muzeumpb.sk
Knižnica Vlastivedného múzea v Hlohovci;múzeí a galérií;Fungujúca;Františkánske námestie 1;920 01;Hlohovec;Hlohovec;Trnavský;Jozef Urminský;337300337;;vmh@zupa-tt.sk
Knižnica Slovenského národného múzea - Múzea bábkarských kultúr a hračiek Modrý Kameň;múzeí a galérií;Fungujúca;Zámocká 1;992 01;Modrý Kameň;Veľký Krtíš;Banskobystrický;Mgr. Helena Ferencová;472454104;;hradmodrykamen@snm.sk
Knižnica Slovenského národného múzea - Múzea kultúry Maďarov na Slovensku;múzeí a galérií;Fungujúca;Žižková 18;810 06;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Mgr. Gabriella Jarabik;220491257;;mkms@snm.sk
Knižnica Baníckeho múzea v Rožňave;múzeí a galérií;Fungujúca;Šafárikova 31;048 01;Rožňava;Rožňava;Košický;Mgr. Jozef Csobádi;583743710;;banmuz@mail.t-com.sk
Knižnica SNM - Múzea ukrajinskej kultúry Svidník;múzeí a galérií;Fungujúca;Centrálna 258;089 01;Svidník;Svidník;Prešovský;PhDr. Miroslav Sopoliga, DrSc.;918565886;;sekretariat-muk@snm.sk
Knižnica Múzea mesta Bratislavy;múzeí a galérií;Fungujúca;Radničná 1;815 18;Bratislava - Staré Mesto;Bratislava I;Bratislavský;PhDr. Peter Hyross;259100812;;mmba@bratislava.sk
Knižnica Slovenskej národnej galérie;múzeí a galérií;Fungujúca;Riečna 1;815 96;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Alexandra Kusá, PhD.;220476125;www.sng.sk/sk/uvod/o-sng/kniznica;kniznica@sng.sk
Knižnica Literárneho múzea v Martine - Slovenská národná knižnica;múzeí a galérií;Fungujúca;M. R. Štefánika 11;036 01;Martin;Martin;Žilinský;Ing. Katarina Krištofová, PhD.;432451600;www.snk.sk;literarne.muzeum@snk.sk
Knižnica Vlastivedného múzea v Hanušovciach nad Topľou;múzeí a galérií;Fungujúca;Zámocká 160/5;094 31;Hanušovce nad Topľou;Vranov nad Topľou;Prešovský;PhDr. Mária Kotorová, PhD.;574452371;;muz.hanus@gmail.com
Knižnica SNM - Múzea rusínskej kultúry Prešov;múzeí a galérií;Fungujúca;Masarykova 20;080 01;Prešov;Prešov;Prešovský;PhDr. Oľga Glosíková, DrSc.;512453316;;mrk@snm.sk
Knižnica Oravskej galérie v Dolnom Kubíne;múzeí a galérií;Fungujúca;Hviezdoslavovo námestie 11;026 01;Dolný Kubín;Dolný Kubín;Žilinský;PhDr. Eva Ľuptáková;435863212;;orgaldk@vuczilina.sk
Knižnica Pohronského múzea v Novej Bani;múzeí a galérií;Fungujúca;Bernolákova 2;968 01;Nová Baňa;Žarnovica;Banskobystrický;Mgr. Katarína Konečná;456855178;;muzeumpm@stonline.sk
Knižnica Múzea vo Svätom Antone;múzeí a galérií;Fungujúca;Svätý Anton;969 72;Svätý Anton;Banská Štiavnica;Banskobystrický;Ing. Marián Číž;915897833;;smodrkova@msa.sk
Knižnica NBS - Múzea mincí a medailí v Kremnici;múzeí a galérií;Fungujúca;Štefánikovo námestie 11/21;967 01;Kremnica;Žiar nad Hronom;Banskobystrický;Mgr. Mariana Novotná;456780310;;muzeum@nbs.sk
Knižnica Múzea Janka Kráľa v Liptovskom Mikuláši;múzeí a galérií;Fungujúca;Námestie osloboditeľov 31;031 01;Liptovský Mikuláš;Liptovský Mikuláš;Žilinský;Mgr. Zdenko Blažek;445525055;www.mjk.sk;muzeum@mjk.lm.sk
Knižnica Slovenské národné múzeum - Múzeá v Martine;múzeí a galérií;Fungujúca;Malá hora 2;036 80;Martin;Martin;Žilinský;PhDr. Mária Halmová;434131011;www.snm-em.sk;snmmartin@snm.sk
Knižnica Múzea Spiša;múzeí a galérií;Fungujúca;Letná 50;052 01;Spišská Nová Ves;Spišská Nová Ves;Košický;Ing. Zuzana Krempaská;910873048;www.muzeumspisa.com;dokumentacne@muzeumspisa.com
Knižnica krajského múzea v Prešove;múzeí a galérií;Fungujúca;Hlavná 86;080 01;Prešov;Prešov;Prešovský;Mgr. Adrián Latta;517734708;;krajskemuzeumpo@stonline.sk
Knižnica Podtatranského múzea v Poprade;múzeí a galérií;Fungujúca;Vajanského 72/4;058 01;Poprad;Poprad;Prešovský;PhDr. Magdaléna Bekessová;527721924;;sekretariat@muzeumpp.sk
Knižnica Slovenského poľnohospodárskeho múzea v Nitre;múzeí a galérií;Fungujúca;Dlhá 92;950 50;Nitra;Nitra;Nitriansky;Ing. František Ďurkovič;377336648;;muzeum@agrokomplex.sk
Knižnica Oravského múzea P. O. Hviezdoslava v Dolnom Kubíne;múzeí a galérií;Fungujúca;Hviezdoslavovo námestie 1692/7;026 01;Dolný Kubín;Dolný Kubín;Žilinský;PaedDr. Mária Jagnešáková;435864780;www.oravskemuzeum.sk;muzeum@oravskemuzeum.sk
